"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Portugal","2017","Total","Male","Amadora","City proper","Estimate - de jure","Final figure, complete","2018","83341.5",""
"Portugal","2017","Total","Male","LISBOA","City proper","Estimate - de jure","Final figure, complete","2018","231435.5",""
"Portugal","2017","Total","Male","Porto","City proper","Estimate - de jure","Final figure, complete","2018","96469.5",""
"Portugal","2017","Total","Female","Amadora","City proper","Estimate - de jure","Final figure, complete","2018","95714",""
"Portugal","2017","Total","Female","LISBOA","City proper","Estimate - de jure","Final figure, complete","2018","274090.5",""
"Portugal","2017","Total","Female","Porto","City proper","Estimate - de jure","Final figure, complete","2018","117883.5",""
"Portugal","2016","Total","Male","Amadora","City proper","Estimate - de jure","Final figure, complete","2017","82641",""
"Portugal","2016","Total","Male","LISBOA","City proper","Estimate - de jure","Final figure, complete","2017","230854.5",""
"Portugal","2016","Total","Male","Porto","City proper","Estimate - de jure","Final figure, complete","2017","96426.5",""
"Portugal","2016","Total","Female","Amadora","City proper","Estimate - de jure","Final figure, complete","2017","94765.5",""
"Portugal","2016","Total","Female","LISBOA","City proper","Estimate - de jure","Final figure, complete","2017","273863",""
"Portugal","2016","Total","Female","Porto","City proper","Estimate - de jure","Final figure, complete","2017","117922.5",""
"Portugal","2015","Total","Male","Amadora","City proper","Estimate - de jure","Final figure, complete","2016","82255.5",""
"Portugal","2015","Total","Male","LISBOA","City proper","Estimate - de jure","Final figure, complete","2016","231832.5",""
"Portugal","2015","Total","Male","Porto","City proper","Estimate - de jure","Final figure, complete","2016","97333",""
"Portugal","2015","Total","Female","Amadora","City proper","Estimate - de jure","Final figure, complete","2016","94042.5",""
"Portugal","2015","Total","Female","LISBOA","City proper","Estimate - de jure","Final figure, complete","2016","275059",""
"Portugal","2015","Total","Female","Porto","City proper","Estimate - de jure","Final figure, complete","2016","119072",""
"Portugal","2014","Total","Male","Amadora","City proper","Estimate - de jure","Final figure, complete","2015","82080.5",""
"Portugal","2014","Total","Male","LISBOA","City proper","Estimate - de jure","Final figure, complete","2015","234520.5",""
"Portugal","2014","Total","Male","Porto","City proper","Estimate - de jure","Final figure, complete","2015","99360",""
"Portugal","2014","Total","Female","Amadora","City proper","Estimate - de jure","Final figure, complete","2015","93572.5",""
"Portugal","2014","Total","Female","LISBOA","City proper","Estimate - de jure","Final figure, complete","2015","278543",""
"Portugal","2014","Total","Female","Porto","City proper","Estimate - de jure","Final figure, complete","2015","120881.5",""

