IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
0,342,2015,July,27,1,0,0,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,3,No Deposit     ,       NULL,       NULL,0,Transient,0,0,0,Check-Out,7/1/2015
0,737,2015,July,27,1,0,0,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,4,No Deposit     ,       NULL,       NULL,0,Transient,0,0,0,Check-Out,7/1/2015
0,7,2015,July,27,1,0,1,1,0,0,BB       ,GBR,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient,75,0,0,Check-Out,7/2/2015
0,13,2015,July,27,1,0,1,1,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,304,       NULL,0,Transient,75,0,0,Check-Out,7/2/2015
0,14,2015,July,27,1,0,2,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,98,0,1,Check-Out,7/3/2015
0,14,2015,July,27,1,0,2,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,98,0,1,Check-Out,7/3/2015
0,0,2015,July,27,1,0,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient,107,0,0,Check-Out,7/3/2015
0,9,2015,July,27,1,0,2,2,0,0,FB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,303,       NULL,0,Transient,103,0,1,Check-Out,7/3/2015
1,85,2015,July,27,1,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,82,0,1,Canceled,5/6/2015
1,75,2015,July,27,1,0,3,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,15,       NULL,0,Transient,105.5,0,0,Canceled,4/22/2015
1,23,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,123,0,0,Canceled,6/23/2015
0,35,2015,July,27,1,0,4,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,145,0,0,Check-Out,7/5/2015
0,68,2015,July,27,1,0,4,2,0,0,BB       ,USA,Online TA,TA/TO,0,0,0,D               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,97,0,3,Check-Out,7/5/2015
0,18,2015,July,27,1,0,4,2,1,0,HB       ,ESP,Online TA,TA/TO,0,0,0,G               ,G               ,1,No Deposit     ,241,       NULL,0,Transient,154.77,0,1,Check-Out,7/5/2015
0,37,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,241,       NULL,0,Transient,94.71,0,0,Check-Out,7/5/2015
0,68,2015,July,27,1,0,4,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,D               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,97,0,3,Check-Out,7/5/2015
0,37,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,8,       NULL,0,Contract,97.5,0,0,Check-Out,7/5/2015
0,12,2015,July,27,1,0,1,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,A               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,88.2,0,0,Check-Out,7/2/2015
0,0,2015,July,27,1,0,1,2,0,0,BB       ,FRA,Corporate,Corporate,0,0,0,A               ,G               ,0,No Deposit     ,       NULL,110,0,Transient,107.42,0,0,Check-Out,7/2/2015
0,7,2015,July,27,1,0,4,2,0,0,BB       ,GBR,Direct,Direct,0,0,0,G               ,G               ,0,No Deposit     ,250,       NULL,0,Transient,153,0,1,Check-Out,7/5/2015
0,37,2015,July,27,1,1,4,1,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,F               ,F               ,0,No Deposit     ,241,       NULL,0,Transient,97.29,0,1,Check-Out,7/6/2015
0,72,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,1,No Deposit     ,250,       NULL,0,Transient,84.67,0,1,Check-Out,7/7/2015
0,72,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,1,No Deposit     ,250,       NULL,0,Transient,84.67,0,1,Check-Out,7/7/2015
0,72,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,1,No Deposit     ,250,       NULL,0,Transient,99.67,0,1,Check-Out,7/7/2015
0,127,2015,July,27,1,2,5,2,0,0,HB       ,GBR,Offline TA/TO,TA/TO,0,0,0,D               ,I               ,0,No Deposit     ,115,       NULL,0,Contract,94.95,0,1,Check-Out,7/1/2015
0,78,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,5,       NULL,0,Transient,63.6,1,0,Check-Out,7/8/2015
0,48,2015,July,27,1,2,5,2,0,0,BB       ,IRL,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,8,       NULL,0,Contract,79.5,0,0,Check-Out,7/8/2015
1,60,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,107,0,2,Canceled,5/11/2015
0,77,2015,July,27,1,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,94,0,0,Check-Out,7/8/2015
